Material Number,Product Code,Description,MRP Group,Mat status,MRP Controller
MC-5W6867/30,4RS,DRAWBAR AS,X005,Y1,MST
MC-4374542/03,4XV,BUCKET AR,X005,Y1,DEL
MC-4374542/03,4XV,BUCKET AR,X005,Y1,DEL
MC-4374950/03,4XV,BUCKET AR,X005,Y1,DEL
MC-4527437/03,4XV,BUCKET AR,X005,Y1,DEL
MC-4527437/03,4XV,BUCKET AR,X005,Y1,DEL
MC-4374555/00,4XV,BUCKET AR,X005,Y1,DEL
MC-4374923/00,4XV,BUCKET AR,X005,Y1,DEL
MC-4662255/00,4XV,BUCKET AR,X005,Y1,DEL
MC-4374549/00,4XV,BUCKET AR,X005,Y1,DEL
MC-4374925/00,4XV,BUCKET AR,X005,Y1,DEL
MC-4374927/00,4XV,BUCKET AR,X005,Y1,DEL
MC-4374549/00,4XV,BUCKET AR,X005,Y1,DEL
MC-5605523/00,4XV,BUCKET AR,X005,Y1,DEL
MC-4374545/00,4XV,BUCKET AR,X005,Y1,DEL
MC-5577458/JJ03,4NK,BUCKET AR,X005,Y1,NEY
MC-5577585/03,4CK,BUCKET AR,X005,Y1,NEY
MC-4266547/00,4NO,BUCKET AR,X005,Y1,EY
MC-5527750/05,4UV,BUCKET AR,X005,Y1,EY
MC-5527745/JJ04,4UV,BUCKET AR,X005,Y1,EY
2967597,4KN,BUCKET AR,X005,Y1,EY
MC-5527745/JJ04,4UV,BUCKET AR,X005,Y1,EY
MC-5527750/05,4UV,BUCKET AR,X005,Y1,EY
MC-5577444/JJ03,4NK,BUCKET AR,X005,Y1,NEY
MC-4374555/00,4XV,BUCKET AR,X005,Y1,DEL
MC-4374923/00,4XV,BUCKET AR,X005,Y1,DEL
MC-4500252/02,4XV,BUCKET AR,X005,Y1,DEL
MC-4500250/02,4XV,BUCKET AR,X005,Y1,DEL
MC-4533430/00,4XV,BUCKET AR,X005,Y1,DEL
MC-5605552/03,4XV,BUCKET AR,X005,Y1,DEL
MC-4527436/03,4XV,BUCKET AR,X005,Y1,DEL
MC-4374950/03,4XV,BUCKET AR,X005,Y1,DEL
MC-5605552/03,4XV,BUCKET AR,X005,Y1,DEL
MC-4374555/00,4XV,BUCKET AR,X005,Y1,DEL
MC-4533433/00,4XV,BUCKET AR,X005,Y1,DEL
MC-4374939/00,4XV,BUCKET AR,X005,Y1,DEL
MC-5452427/00,4XV,BUCKET AR,X005,Y1,DEL
MC-2522696R/03,4NK,BUCKET AR,X005,Y1,NEY
MC-5577458/JJ03,4NK,BUCKET AR,X005,Y1,NEY
MC-2522698R/03,4NK,BUCKET AR,X005,Y1,NEY
MC-2522696R/03,4NK,BUCKET AR,X005,Y1,NEY
MC-2522696R/03,4NK,BUCKET AR,X005,Y1,NEY
MC-2522698R/03,4NK,BUCKET AR,X005,Y1,NEY
MC-5605525/00,4XV,BUCKET AR,X005,Y1,DEL
MC-4374929/00,4XV,BUCKET AR,X005,Y1,DEL
MC-5452427/00,4XV,BUCKET AR,X005,Y1,DEL
MC-4374545/00,4XV,BUCKET AR,X005,Y1,DEL
MC-4527437/03,4XV,BUCKET AR,X005,Y1,DEL
MC-5452427/00,4XV,BUCKET AR,X005,Y1,DEL
MC-4374555/00,4XV,BUCKET AR,X005,Y1,DEL
MC-5527745/JJ04,4UV,BUCKET AR,X005,Y1,EY
MC-4722548/03,4AB,BUCKET AR,X005,Y1,EY
2795420,4KN,BUCKET AR,X005,Y1,EY
MC-4722548/03,4AB,BUCKET AR,X005,Y1,EY
2795420,4KN,BUCKET AR,X005,Y1,EY
2967597,4KN,BUCKET AR,X005,Y1,EY
MC-4722548/03,4AB,BUCKET AR,X005,Y1,EY
2795420,4KN,BUCKET AR,X005,Y1,EY
2795420,4KN,BUCKET AR,X005,Y1,EY
2967597,4KN,BUCKET AR,X005,Y1,EY
MC-3586095/05,4UF,BUCKET AR,X005,Y1,EY
MC-3586095/05,4UF,BUCKET AR,X005,Y1,EY
MC-4266547/00,4NO,BUCKET AR,X005,Y1,EY
MC-4266547/00,4NO,BUCKET AR,X005,Y1,EY
MC-4266556/00,4NO,BUCKET AR,X005,Y1,EY
MC-4266547/00,4NO,BUCKET AR,X005,Y1,EY
MC-4266556/00,4NO,BUCKET AR,X005,Y1,EY
MC-4266547/00,4NO,BUCKET AR,X005,Y1,EY
MC-4266556/00,4NO,BUCKET AR,X005,Y1,EY
MC-4266547/00,4NO,BUCKET AR,X005,Y1,EY
MC-4690392/00,4XV,BUCKET GP - GP,X005,Y1,DEL
MC-4533405/03,4XV,BUCKET GP - GP,X005,Y1,DEL
MC-4690392/00,4XV,BUCKET GP - GP,X005,Y1,DEL
MC-5255854/JJ00,4AA,COUPLER GP,X005,Y1,DDL
MC-5427262/JJ00,4AA,COUPLER GP,X005,Y1,DDL
MC-3545888/00,4VE,BUCKET GP - HOE,X005,Y1,NEY
MC-2548940/02,4VE,"BUCKET GP-HOE (458MM/18"" HI CAP PERF)",X005,Y1,NEY
MC-5843700/00,4XQ,BUCKET AR - GP (1.00 CYD),X005,Y1,EY
MC-5843700/00,4XQ,BUCKET AR - GP (1.00 CYD),X005,Y1,EY
MC-5843700/00,4XQ,BUCKET AR - GP (1.00 CYD),X005,Y1,EY
MC-5843700/00,4XQ,BUCKET AR - GP (1.00 CYD),X005,Y1,EY
MC-2633596/S05,4XQ,BUCKET AR.- LM (1.5 CUM),X005,Y1,EY
MC-5843700/00,4XQ,BUCKET AR - GP (1.00 CYD),X005,Y1,EY
MC-2633543M/S05,4XQ,BUCKET GP - GP (0.9 CUM),X005,Y1,EY
MC-2633596/S05,4XQ,BUCKET AR.- LM (1.5 CUM),X005,Y1,EY
MC-5843700/00,4XQ,BUCKET AR - GP (1.00 CYD),X005,Y1,EY
MC-2633596/S05,4XQ,BUCKET AR.- LM (1.5 CUM),X005,Y1,EY
MC-5843700/00,4XQ,BUCKET AR - GP (1.00 CYD),X005,Y1,EY
MC-2968392/02,4KN,BUCKET AR (84 IN.) (GP BUCKET),X005,Y1,EY
MC-2968392/02,4KN,BUCKET AR (84 IN.) (GP BUCKET),X005,Y1,EY
